disease_1,disease_2,semantic_similarity
Colorectal cancer,Lung small cell carcinoma,0.193613418
Colorectal cancer,Mouth neoplasms,0.475531084
Colorectal cancer,Lymphosarcoma,0.026455026
Colorectal cancer,Breast neoplasms,0.139896373
West nile virus infection,West nile virus infection,0
West nile virus infection,Lung cancer,0.093360272
West nile virus infection,Cerebral cavernous malformations,0.018404908
West nile virus infection,Thyroid cancer,0.093360272
West nile virus infection,Esophageal cancer,0.093360272
West nile virus infection,Alzheimer disease,0.086247086
West nile virus infection,Rheumatoid arthritis,0.07496322
West nile virus infection,Colorectal adenocarcinoma,0.069898901
West nile virus infection,Gastric cancer,0.093360272
West nile virus infection,Pancreatic adenocarcinoma,0.07496322
West nile virus infection,Liver fibrosis,0
West nile virus infection,Hepatocellular carcinoma,0.07496322
West nile virus infection,Osteoarthritis,0.07496322
West nile virus infection,Multiple myeloma,0.069898901
West nile virus infection,Prostate cancer,0.082379097
West nile virus infection,Osteosarcoma,0.07496322
West nile virus infection,Colorectal carcinoma,0
West nile virus infection,Muscle-invasive bladder cancer,0.093360272
West nile virus infection,Parkinson disease,0.087885986
West nile virus infection,Breast cancer,0.093360272
West nile virus infection,Pancreatic cancer,0.093360272
West nile virus infection,Colon cancer,0.069898901
West nile virus infection,Laryngeal cancer,0.082379097
West nile virus infection,Laryngeal squamous cell carcinoma,0.07496322
West nile virus infection,Glioblastoma,0.082379097
West nile virus infection,Glioma,0.109892388
West nile virus infection,Pancreatic ductal adenocarcinoma,0.069898901
West nile virus infection,Liver cancer,0.093360272
West nile virus infection,Lung squamous cell carcinoma,0.069898901
West nile virus infection,Non small cell lung cancer,0.07496322
West nile virus infection,Non small cell lung carcinoma,0.07496322
West nile virus infection,Ovarian carcinoma,0.066414066
West nile virus infection,Cervical cancer,0.082379097
West nile virus infection,Renal cell carcinoma,0.07496322
West nile virus infection,Clear cell renal cell carcinoma,0.069898901
West nile virus infection,Cholangiocarcinoma,0.066414066
West nile virus infection,Neuroblastoma,0.07496322
West nile virus infection,Acute myeloid leukemia,0.069898901
West nile virus infection,Nasopharyngeal carcinoma,0.082379097
West nile virus infection,Esophageal squamous cell cancer,0
West nile virus infection,Esophageal squamous cell carcinoma,0
West nile virus infection,Liver cirrhosis,0.093360272
West nile virus infection,Early hepatocellular carcinoma,0.07496322
West nile virus infection,Triple negative breast cancer,0.082379097
West nile virus infection,Bladder cancer,0.093360272
West nile virus infection,Atherosclerosis,0.07496322
West nile virus infection,Ovarian cancer,0.082379097
West nile virus infection,Papillary thyroid cancer,0.07496322
West nile virus infection,Papillary thyroid carcinoma,0.07496322
West nile virus infection,Gastric carcinoma,0.082379097
West nile virus infection,Nasopharyngeal cancer,0
West nile virus infection,Nk/T cell lymphoma,0
West nile virus infection,Ischemia,0.109892388
West nile virus infection,Esophagus adenocarcinoma,0.07496322
West nile virus infection,Retinoblastoma,0.066414066
West nile virus infection,Epithelial ovarian cancer,0.07496322
West nile virus infection,Renal cell cancer,0
West nile virus infection,Diffuse large B cell lymphoma,0.066414066
West nile virus infection,Oral squamous cell carcinoma,0.082379097
West nile virus infection,Lymphoma,0.082379097
West nile virus infection,Hemangioma,0.109892388
West nile virus infection,Myasthenia gravis,0.062546377
West nile virus infection,Pneumonia,0.093360272
West nile virus infection,Pediatric neuroblastoma,0.07496322
West nile virus infection,Leukemia lymphoblastic acute,0.069898901
West nile virus infection,Tongue squamous cell carcinoma,0.07496322
West nile virus infection,Melanoma,0.109892388
West nile virus infection,Nonalcoholic fatty liver disease,0
West nile virus infection,Epithelial ovarian carcinoma,0
West nile virus infection,Herpes simplex keratitis,0.051172708
West nile virus infection,Dysregulated immunity,0
West nile virus infection,Pre-eclampsia,0.082379097
West nile virus infection,Chronic obstructive pulmonary disease,0.082379097
West nile virus infection,Lung adenocarcinoma,0.069898901
West nile virus infection,T-cell acute lymphoblastic leukemia,0.064003532
West nile virus infection,Chronic myeloid leukemia,0.069898901
West nile virus infection,Ovarian clear cell carcinoma,0.064003532
West nile virus infection,Primary breast cancer,0.093360272
West nile virus infection,Wilms tumor,0.082379097
West nile virus infection,Colon and rectal adenocarcinoma,0.07496322
West nile virus infection,Uveal melanoma,0.069898901
West nile virus infection,Hypopharyngeal cancer,0.082379097
West nile virus infection,Cardiac hypertrophy,0
West nile virus infection,Hepatic carcinoma,0
West nile virus infection,Cancer,0.176370951
West nile virus infection,Tuberculosis,0.266881514
West nile virus infection,Prader-willi syndrome,0.135412554
West nile virus infection,Acute promyelocytic leukemia,0.066414066
West nile virus infection,Heart failure,0.109892388
West nile virus infection,Uterine leiomyoma,0.07496322
West nile virus infection,Adenocarcinoma,0.093360272
West nile virus infection,Lung carcinoma,0.082379097
West nile virus infection,Head and neck squamous cell carcinoma,0.082379097
West nile virus infection,Psoriatic arthritis,0.176370951
West nile virus infection,B-cell lymphoma,0.069898901
West nile virus infection,Prostate carcinoma,0.07496322
West nile virus infection,Prostatic neoplasms,0
West nile virus infection,Malignant glioma,0.109892388
West nile virus infection,Epstein-barr virus infections,0.061696658
West nile virus infection,Stomach cancer,0.093360272
West nile virus infection,Urinary bladder cancer,0.093360272
West nile virus infection,Colon carcinoma,0.066414066
West nile virus infection,Gallbladder cancer,0.082379097
West nile virus infection,Liposarcoma,0.07496322
West nile virus infection,Meningioma,0.082379097
West nile virus infection,Uterine cervical neoplasm,0.082379097
West nile virus infection,Renal carcinoma,0.082379097
West nile virus infection,Lung small cell carcinoma,0.07496322
West nile virus infection,Mouth neoplasms,0.093360272
West nile virus infection,Lymphosarcoma,0
West nile virus infection,Breast neoplasms,0
Lung cancer,Lung cancer,0
Lung cancer,Cerebral cavernous malformations,0.013888889
Lung cancer,Thyroid cancer,0.421998728
Lung cancer,Esophageal cancer,0.421998728
Lung cancer,Alzheimer disease,0.047619921
Lung cancer,Rheumatoid arthritis,0.041172339
Lung cancer,Colorectal adenocarcinoma,0.271481054
Lung cancer,Gastric cancer,0.421998728
Lung cancer,Pancreatic adenocarcinoma,0.304051121
Lung cancer,Liver fibrosis,0
Lung cancer,Hepatocellular carcinoma,0.304051121
Lung cancer,Osteoarthritis,0.041172339
Lung cancer,Multiple myeloma,0.271481054
Lung cancer,Prostate cancer,0.351665478
Lung cancer,Osteosarcoma,0.304051121
Lung cancer,Colorectal carcinoma,0.046153846
Lung cancer,Muscle-invasive bladder cancer,0.421998728
Lung cancer,Parkinson disease,0.047619921
Lung cancer,Breast cancer,0.421998728
Lung cancer,Pancreatic cancer,0.421998728
Lung cancer,Colon cancer,0.271481054
Lung cancer,Laryngeal cancer,0.549999175
Lung cancer,Laryngeal squamous cell carcinoma,0.475531084
Lung cancer,Glioblastoma,0.21283189
Lung cancer,Glioma,0.319248128
Lung cancer,Pancreatic ductal adenocarcinoma,0.271481054
Lung cancer,Liver cancer,0.421998728
Lung cancer,Lung squamous cell carcinoma,0.643321971
Lung cancer,Non small cell lung cancer,0.720502458
Lung cancer,Non small cell lung carcinoma,0.720502458
Lung cancer,Ovarian carcinoma,0.24904353
Lung cancer,Cervical cancer,0.351665478
Lung cancer,Renal cell carcinoma,0.304051121
Lung cancer,Clear cell renal cell carcinoma,0.271481054
Lung cancer,Cholangiocarcinoma,0.24904353
Lung cancer,Neuroblastoma,0.304051121
Lung cancer,Acute myeloid leukemia,0.271481054
Lung cancer,Nasopharyngeal carcinoma,0.351665478
Lung cancer,Esophageal squamous cell cancer,0.056603774
Lung cancer,Esophageal squamous cell carcinoma,0.056603774
Lung cancer,Liver cirrhosis,0.057143926
Lung cancer,Early hepatocellular carcinoma,0.304051121
Lung cancer,Triple negative breast cancer,0.351665478
Lung cancer,Bladder cancer,0.421998728
Lung cancer,Atherosclerosis,0.041172339
Lung cancer,Ovarian cancer,0.351665478
Lung cancer,Papillary thyroid cancer,0.304051121
Lung cancer,Papillary thyroid carcinoma,0.304051121
Lung cancer,Gastric carcinoma,0.351665478
Lung cancer,Nasopharyngeal cancer,0.049723757
Lung cancer,Nk/T cell lymphoma,0.020134228
Lung cancer,Ischemia,0.071429946
Lung cancer,Esophagus adenocarcinoma,0.304051121
Lung cancer,Retinoblastoma,0.24904353
Lung cancer,Epithelial ovarian cancer,0.304051121
Lung cancer,Renal cell cancer,0.045918367
Lung cancer,Diffuse large B cell lymphoma,0.24904353
Lung cancer,Oral squamous cell carcinoma,0.351665478
Lung cancer,Lymphoma,0.351665478
Lung cancer,Hemangioma,0.173472727
Lung cancer,Myasthenia gravis,0.036757459
Lung cancer,Pneumonia,0.303797468
Lung cancer,Pediatric neuroblastoma,0.304051121
Lung cancer,Leukemia lymphoblastic acute,0.271481054
Lung cancer,Tongue squamous cell carcinoma,0.304051121
Lung cancer,Melanoma,0.319248128
Lung cancer,Nonalcoholic fatty liver disease,0
Lung cancer,Epithelial ovarian carcinoma,0.056338028
Lung cancer,Herpes simplex keratitis,0
Lung cancer,Dysregulated immunity,0
Lung cancer,Pre-eclampsia,0.047619921
Lung cancer,Chronic obstructive pulmonary disease,0.246575342
Lung cancer,Lung adenocarcinoma,0.643321971
Lung cancer,T-cell acute lymphoblastic leukemia,0.233510809
Lung cancer,Chronic myeloid leukemia,0.271481054
Lung cancer,Ovarian clear cell carcinoma,0.233510809
Lung cancer,Primary breast cancer,0.421998728
Lung cancer,Wilms tumor,0.351665478
Lung cancer,Colon and rectal adenocarcinoma,0.304051121
Lung cancer,Uveal melanoma,0.271481054
Lung cancer,Hypopharyngeal cancer,0.351665478
Lung cancer,Cardiac hypertrophy,0
Lung cancer,Hepatic carcinoma,0.063157895
Lung cancer,Cancer,0.573196756
Lung cancer,Tuberculosis,0.071429946
Lung cancer,Prader-willi syndrome,0.093360272
Lung cancer,Acute promyelocytic leukemia,0.24904353
Lung cancer,Heart failure,0.071429946
Lung cancer,Uterine leiomyoma,0.099989966
Lung cancer,Adenocarcinoma,0.255398362
Lung cancer,Lung carcinoma,0.833333028
Lung cancer,Head and neck squamous cell carcinoma,0.351665478
Lung cancer,Psoriatic arthritis,0.128249503
Lung cancer,B-cell lymphoma,0.271481054
Lung cancer,Prostate carcinoma,0.304051121
Lung cancer,Prostatic neoplasms,0.068181818
Lung cancer,Malignant glioma,0.319248128
Lung cancer,Epstein-barr virus infections,0
Lung cancer,Stomach cancer,0.421998728
Lung cancer,Urinary bladder cancer,0.421998728
Lung cancer,Colon carcinoma,0.24904353
Lung cancer,Gallbladder cancer,0.351665478
Lung cancer,Liposarcoma,0.304051121
Lung cancer,Meningioma,0.351665478
Lung cancer,Uterine cervical neoplasm,0.351665478
Lung cancer,Renal carcinoma,0.351665478
Lung cancer,Lung small cell carcinoma,0.720502458
Lung cancer,Mouth neoplasms,0.421998728
Lung cancer,Lymphosarcoma,0.036144578
Lung cancer,Breast neoplasms,0.176470588
Cerebral cavernous malformations,Cerebral cavernous malformations,0
Cerebral cavernous malformations,Thyroid cancer,0.02173913
Cerebral cavernous malformations,Esophageal cancer,0.020661157
Cerebral cavernous malformations,Alzheimer disease,0.034782609
Cerebral cavernous malformations,Rheumatoid arthritis,0
Cerebral cavernous malformations,Colorectal adenocarcinoma,0
Cerebral cavernous malformations,Gastric cancer,0.013636364
Cerebral cavernous malformations,Pancreatic adenocarcinoma,0
Cerebral cavernous malformations,Liver fibrosis,0
Cerebral cavernous malformations,Hepatocellular carcinoma,0.02991453
Cerebral cavernous malformations,Osteoarthritis,0
Cerebral cavernous malformations,Multiple myeloma,0.274647887
Cerebral cavernous malformations,Prostate cancer,0.013636364
Cerebral cavernous malformations,Osteosarcoma,0.041666667
Cerebral cavernous malformations,Colorectal carcinoma,0.008368201
Cerebral cavernous malformations,Muscle-invasive bladder cancer,0.013274336
Cerebral cavernous malformations,Parkinson disease,0.053097345
Cerebral cavernous malformations,Breast cancer,0.042056075
Cerebral cavernous malformations,Pancreatic cancer,0.021008403
Cerebral cavernous malformations,Colon cancer,0.007194245
Cerebral cavernous malformations,Laryngeal cancer,0.0125
Cerebral cavernous malformations,Laryngeal squamous cell carcinoma,0
Cerebral cavernous malformations,Glioblastoma,0.02278481
Cerebral cavernous malformations,Glioma,0.043269231
Cerebral cavernous malformations,Pancreatic ductal adenocarcinoma,0.027131783
Cerebral cavernous malformations,Liver cancer,0.023364486
Cerebral cavernous malformations,Lung squamous cell carcinoma,0
Cerebral cavernous malformations,Non small cell lung cancer,0.006257822
Cerebral cavernous malformations,Non small cell lung carcinoma,0.006257822
Cerebral cavernous malformations,Ovarian carcinoma,0.018939394
Cerebral cavernous malformations,Cervical cancer,0.008928571
Cerebral cavernous malformations,Renal cell carcinoma,0.025
Cerebral cavernous malformations,Clear cell renal cell carcinoma,0.025
Cerebral cavernous malformations,Cholangiocarcinoma,0.031088083
Cerebral cavernous malformations,Neuroblastoma,0.02278481
Cerebral cavernous malformations,Acute myeloid leukemia,0.046875
Cerebral cavernous malformations,Nasopharyngeal carcinoma,0.037656904
Cerebral cavernous malformations,Esophageal squamous cell cancer,0.02734375
Cerebral cavernous malformations,Esophageal squamous cell carcinoma,0.02734375
Cerebral cavernous malformations,Liver cirrhosis,0
Cerebral cavernous malformations,Early hepatocellular carcinoma,0.02991453
Cerebral cavernous malformations,Triple negative breast cancer,0.024509804
Cerebral cavernous malformations,Bladder cancer,0.013274336
Cerebral cavernous malformations,Atherosclerosis,0.0625
Cerebral cavernous malformations,Ovarian cancer,0.018939394
Cerebral cavernous malformations,Papillary thyroid cancer,0.024691358
Cerebral cavernous malformations,Papillary thyroid carcinoma,0.024691358
Cerebral cavernous malformations,Gastric carcinoma,0
Cerebral cavernous malformations,Nasopharyngeal cancer,0.008888889
Cerebral cavernous malformations,Nk/T cell lymphoma,0.031088083
Cerebral cavernous malformations,Ischemia,0
Cerebral cavernous malformations,Esophagus adenocarcinoma,0
Cerebral cavernous malformations,Retinoblastoma,0.03358209
Cerebral cavernous malformations,Epithelial ovarian cancer,0.035019455
Cerebral cavernous malformations,Renal cell cancer,0.025
Cerebral cavernous malformations,Diffuse large B cell lymphoma,0.037878788
Cerebral cavernous malformations,Oral squamous cell carcinoma,0
Cerebral cavernous malformations,Lymphoma,0.14159292
Cerebral cavernous malformations,Hemangioma,0.394736842
Cerebral cavernous malformations,Myasthenia gravis,0.054054054
Cerebral cavernous malformations,Pneumonia,0
Cerebral cavernous malformations,Pediatric neuroblastoma,0
Cerebral cavernous malformations,Leukemia lymphoblastic acute,0.056603774
Cerebral cavernous malformations,Tongue squamous cell carcinoma,0
Cerebral cavernous malformations,Melanoma,0.067567568
Cerebral cavernous malformations,Nonalcoholic fatty liver disease,0
Cerebral cavernous malformations,Epithelial ovarian carcinoma,0.035019455
Cerebral cavernous malformations,Herpes simplex keratitis,0
Cerebral cavernous malformations,Dysregulated immunity,0
Cerebral cavernous malformations,Pre-eclampsia,0
Cerebral cavernous malformations,Chronic obstructive pulmonary disease,0
Cerebral cavernous malformations,Lung adenocarcinoma,0.02690583
Cerebral cavernous malformations,T-cell acute lymphoblastic leukemia,0.039408867
Cerebral cavernous malformations,Chronic myeloid leukemia,0.081081081
Cerebral cavernous malformations,Ovarian clear cell carcinoma,0
Cerebral cavernous malformations,Primary breast cancer,0
Cerebral cavernous malformations,Wilms tumor,0.092936803
Cerebral cavernous malformations,Colon and rectal adenocarcinoma,0.008368201
Cerebral cavernous malformations,Uveal melanoma,0
Cerebral cavernous malformations,Hypopharyngeal cancer,0.009569378
Cerebral cavernous malformations,Cardiac hypertrophy,0.046728972
Cerebral cavernous malformations,Hepatic carcinoma,0.02991453
Cerebral cavernous malformations,Cancer,0.203703704
Cerebral cavernous malformations,Tuberculosis,0
Cerebral cavernous malformations,Prader-willi syndrome,0.087591241
Cerebral cavernous malformations,Acute promyelocytic leukemia,0.031088083
Cerebral cavernous malformations,Heart failure,0.053763441
Cerebral cavernous malformations,Uterine leiomyoma,0.046875
Cerebral cavernous malformations,Adenocarcinoma,0.046875
Cerebral cavernous malformations,Lung carcinoma,0.006257822
Cerebral cavernous malformations,Head and neck squamous cell carcinoma,0.040909091
Cerebral cavernous malformations,Psoriatic arthritis,0
Cerebral cavernous malformations,B-cell lymphoma,0.054455446
Cerebral cavernous malformations,Prostate carcinoma,0
Cerebral cavernous malformations,Prostatic neoplasms,0.013636364
Cerebral cavernous malformations,Malignant glioma,0.043269231
Cerebral cavernous malformations,Epstein-barr virus infections,0
Cerebral cavernous malformations,Stomach cancer,0.013636364
Cerebral cavernous malformations,Urinary bladder cancer,0.013274336
Cerebral cavernous malformations,Colon carcinoma,0
Cerebral cavernous malformations,Gallbladder cancer,0.013636364
Cerebral cavernous malformations,Liposarcoma,0.043269231
Cerebral cavernous malformations,Meningioma,0.172268908
Cerebral cavernous malformations,Uterine cervical neoplasm,0.008928571
Cerebral cavernous malformations,Renal carcinoma,0
Cerebral cavernous malformations,Lung small cell carcinoma,0.006257822
Cerebral cavernous malformations,Mouth neoplasms,0.023364486
Cerebral cavernous malformations,Lymphosarcoma,0.085714286
Cerebral cavernous malformations,Breast neoplasms,0.042056075
Thyroid cancer,Thyroid cancer,0
Thyroid cancer,Esophageal cancer,0.421998728
Thyroid cancer,Alzheimer disease,0.047619921
Thyroid cancer,Rheumatoid arthritis,0.041172339
Thyroid cancer,Colorectal adenocarcinoma,0.271481054
Thyroid cancer,Gastric cancer,0.421998728
Thyroid cancer,Pancreatic adenocarcinoma,0.475531084
Thyroid cancer,Liver fibrosis,0
Thyroid cancer,Hepatocellular carcinoma,0.304051121
Thyroid cancer,Osteoarthritis,0.041172339
Thyroid cancer,Multiple myeloma,0.271481054
Thyroid cancer,Prostate cancer,0.351665478
Thyroid cancer,Osteosarcoma,0.304051121
Thyroid cancer,Colorectal carcinoma,0.071770335
Thyroid cancer,Muscle-invasive bladder cancer,0.421998728
Thyroid cancer,Parkinson disease,0.047619921
Thyroid cancer,Breast cancer,0.421998728
Thyroid cancer,Pancreatic cancer,0.659999252
Thyroid cancer,Colon cancer,0.271481054
Thyroid cancer,Laryngeal cancer,0.351665478
Thyroid cancer,Laryngeal squamous cell carcinoma,0.304051121
Thyroid cancer,Glioblastoma,0.21283189
Thyroid cancer,Glioma,0.319248128
Thyroid cancer,Pancreatic ductal adenocarcinoma,0.424592019
Thyroid cancer,Liver cancer,0.421998728
Thyroid cancer,Lung squamous cell carcinoma,0.271481054
Thyroid cancer,Non small cell lung cancer,0.304051121
Thyroid cancer,Non small cell lung carcinoma,0.304051121
Thyroid cancer,Ovarian carcinoma,0.307692308
Thyroid cancer,Cervical cancer,0.351665478
Thyroid cancer,Renal cell carcinoma,0.304051121
Thyroid cancer,Clear cell renal cell carcinoma,0.271481054
Thyroid cancer,Cholangiocarcinoma,0.24904353
Thyroid cancer,Neuroblastoma,0.304051121
Thyroid cancer,Acute myeloid leukemia,0.271481054
Thyroid cancer,Nasopharyngeal carcinoma,0.351665478
